payment_id,customer_id,payment_date,amount,plan_type,payment_status
48,2,2026-04-23,196.21,Growth,Paid
49,2,2026-05-23,194.61,Growth,Paid
50,2,2026-06-22,198.96,Growth,Paid
51,3,2024-07-08,47.33,Starter,Failed
52,3,2024-08-07,48.54,Starter,Paid
53,3,2024-09-06,48.39,Starter,Paid
54,3,2024-10-06,48.14,Starter,Paid
55,3,2024-11-05,51.16,Scale,Paid
56,3,2024-12-05,584.22,Scale,Paid
57,3,2025-01-04,621.16,Scale,Paid
58,3,2025-02-03,614.31,Scale,Paid
59,3,2025-03-05,572.14,Scale,Paid
60,3,2025-04-04,-577.97,Scale,Refunded
61,3,2025-05-04,587.95,Scale,Paid
62,3,2025-06-03,594.67,Scale,Paid
63,3,2025-07-03,593.01,Scale,Paid
64,3,2025-08-02,581.24,Scale,Paid
65,3,2025-09-01,593.66,Scale,Paid
66,3,2025-10-01,621.13,Scale,Paid
67,3,2025-10-31,602,Scale,Paid
68,3,2025-11-30,585.93,Scale,Paid
69,3,2025-12-30,608.15,Scale,Paid
70,3,2026-01-29,597.99,Scale,Paid
71,3,2026-02-28,607.58,Scale,Paid
72,3,2026-03-30,617.68,Scale,Paid
73,3,2026-04-29,588.99,Scale,Paid
74,3,2026-05-29,601.86,Scale,Paid
75,3,2026-06-28,602.35,Scale,Paid
76,4,2024-07-31,205.16,Scale,Paid
77,4,2024-08-30,591.98,Scale,Paid
78,4,2024-09-29,585.24,Scale,Paid
79,4,2024-10-29,603.45,Scale,Paid
80,4,2024-11-28,600.75,Scale,Paid
81,4,2024-12-28,574.6,Scale,Paid
82,4,2025-01-27,607.73,Scale,Paid
83,4,2025-02-26,617.83,Scale,Failed
84,4,2025-03-28,594.52,Scale,Paid
85,4,2025-04-27,627.05,Scale,Paid
86,4,2025-05-27,624.77,Scale,Failed
87,4,2025-06-26,597.09,Scale,Paid
88,4,2025-07-26,582.46,Scale,Paid
89,4,2025-08-25,575.57,Scale,Paid
90,4,2025-09-24,619.76,Scale,Paid
91,4,2025-10-24,615.58,Scale,Paid
92,4,2025-11-23,603.16,Scale,Paid
93,4,2025-12-23,626.7,Scale,Paid
94,4,2026-01-22,595.25,Scale,Paid
95,4,2026-02-21,587.04,Scale,Failed
96,4,2026-03-23,584.68,Scale,Paid
97,4,2026-04-22,-601.24,Scale,Refunded
98,4,2026-05-22,588,Scale,Paid
99,4,2026-06-21,600.57,Scale,Paid
100,5,2024-07-15,48.57,Starter,Paid
101,5,2024-08-14,47.5,Starter,Paid
102,5,2024-09-13,46.95,Starter,Paid
103,5,2024-10-13,48.36,Starter,Paid
104,5,2024-11-12,50.07,Starter,Paid
105,5,2024-12-12,46.58,Starter,Paid
106,6,2024-02-13,190.39,Growth,Paid
107,6,2024-03-14,204.29,Growth,Paid
108,6,2024-04-13,194.32,Growth,Paid
109,6,2024-05-13,201.46,Growth,Paid
110,6,2024-06-12,198.7,Growth,Paid
111,6,2024-07-12,200.89,Growth,Failed
112,6,2024-08-11,189.52,Growth,Paid
113,6,2024-09-10,203.18,Growth,Paid
114,6,2024-10-10,203.22,Growth,Paid
115,6,2024-11-09,190.63,Growth,Paid
116,6,2024-12-09,202.03,Growth,Paid
117,6,2025-01-08,195.26,Growth,Paid
118,6,2025-02-07,208.65,Growth,Paid
119,6,2025-03-09,190.61,Growth,Paid
120,6,2025-04-08,206.66,Growth,Paid
121,6,2025-05-08,196.61,Growth,Paid
122,6,2025-06-07,205.05,Growth,Paid
123,6,2025-07-07,192.94,Growth,Paid
124,6,2025-08-06,195.48,Growth,Paid
125,6,2025-09-05,201.62,Growth,Paid
126,6,2025-10-05,197.1,Growth,Paid
127,6,2025-11-04,205.04,Growth,Paid
128,6,2025-12-04,190.3,Growth,Paid
129,6,2026-01-03,195.72,Growth,Failed
130,6,2026-02-02,203.9,Growth,Paid
131,6,2026-03-04,194.97,Growth,Paid
132,6,2026-04-03,205.08,Growth,Failed
133,6,2026-05-03,205.49,Growth,Paid
134,6,2026-06-02,198.32,Growth,Paid
135,7,2024-09-12,51.03,Starter,Paid
136,7,2024-10-12,48.98,Starter,Paid
137,7,2024-11-11,48.04,Starter,Paid
138,7,2024-12-11,47.71,Starter,Paid
139,7,2025-01-10,50.39,Starter,Paid
140,7,2025-02-09,48.47,Starter,Paid
141,7,2025-03-11,49.73,Starter,Paid
142,7,2025-04-10,47.34,Starter,Paid
143,7,2025-05-10,46.9,Starter,Paid
144,7,2025-06-09,-48.61,Starter,Refunded
145,7,2025-07-09,47.4,Starter,Paid
146,7,2025-08-08,50.92,Starter,Paid
147,7,2025-09-07,50.34,Starter,Paid
148,7,2025-10-07,47.99,Starter,Paid
149,7,2025-11-06,47.79,Starter,Paid
150,7,2025-12-06,47.46,Starter,Paid
151,7,2026-01-05,51,Starter,Paid
152,7,2026-02-04,47.78,Starter,Paid
153,7,2026-03-06,49.73,Starter,Paid
154,7,2026-04-05,46.73,Starter,Paid
155,8,2024-09-29,582.89,Scale,Paid
156,8,2024-10-29,621.58,Scale,Paid
157,8,2024-11-28,605.02,Scale,Paid
158,8,2024-12-28,573.55,Scale,Paid
159,8,2025-01-27,605.17,Scale,Paid
160,8,2025-02-26,569.43,Scale,Paid
161,8,2025-03-28,590,Scale,Paid
162,8,2025-04-27,-571.7,Scale,Refunded
163,8,2025-05-27,612.91,Scale,Paid
164,8,2025-06-26,618.1,Scale,Paid
165,8,2025-07-26,606.25,Scale,Paid
166,8,2025-08-25,598.74,Scale,Paid
167,8,2025-09-24,616.72,Scale,Paid
168,8,2025-10-24,601.04,Scale,Paid
169,8,2025-11-23,-585.29,Scale,Refunded
170,8,2025-12-23,594.08,Scale,Paid
171,8,2026-01-22,621.98,Scale,Paid
172,8,2026-02-21,614.97,Scale,Paid
173,8,2026-03-23,592.45,Scale,Paid
174,8,2026-04-22,595.06,Scale,Paid
175,8,2026-05-22,574.47,Scale,Paid
176,8,2026-06-21,615.36,Scale,Paid
177,9,2024-11-24,191.89,Growth,Paid
178,9,2024-12-24,200.45,Growth,Failed
179,9,2025-01-23,192.47,Growth,Paid
180,9,2025-02-22,192.47,Growth,Paid
181,9,2025-03-24,204.05,Growth,Paid
182,9,2025-04-23,195.05,Growth,Paid
183,9,2025-05-23,207.21,Growth,Paid
184,9,2025-06-22,201.71,Growth,Paid
185,9,2025-07-22,202.75,Growth,Paid
186,9,2025-08-21,206.1,Growth,Paid
187,9,2025-09-20,192.95,Growth,Paid
188,9,2025-10-20,189.88,Growth,Failed
189,9,2025-11-19,196.2,Growth,Paid
190,9,2025-12-19,205.28,Growth,Paid
191,9,2026-01-18,205.82,Growth,Paid
192,9,2026-02-17,195.5,Growth,Paid
193,9,2026-03-19,205.95,Growth,Paid
194,9,2026-04-18,195.18,Growth,Paid
195,9,2026-05-18,196.36,Growth,Paid
196,9,2026-06-17,-189.12,Growth,Refunded
197,10,2025-03-13,197.94,Growth,Paid
198,10,2025-04-12,205.7,Growth,Paid
199,10,2025-05-12,190.39,Growth,Paid
200,10,2025-06-11,205.02,Growth,Paid
201,10,2025-07-11,189.86,Growth,Paid
202,10,2025-08-10,195.29,Growth,Paid
203,10,2025-09-09,204.02,Growth,Paid
204,10,2025-10-09,204.66,Growth,Paid
205,10,2025-11-08,201.27,Growth,Paid
206,10,2025-12-08,191.67,Growth,Paid
207,11,2025-02-03,50.52,Starter,Paid
208,11,2025-03-05,50.08,Starter,Paid
209,11,2025-04-04,49.54,Starter,Paid
210,11,2025-05-04,49.56,Starter,Paid
211,11,2025-06-03,47.8,Starter,Failed
212,11,2025-07-03,49.45,Starter,Paid
213,11,2025-08-02,48.37,Starter,Paid
214,11,2025-09-01,49.67,Starter,Paid
215,11,2025-10-01,48.4,Starter,Paid
216,11,2025-10-31,50.31,Starter,Paid
217,11,2025-11-30,51.28,Starter,Paid
218,11,2025-12-30,49.92,Starter,Paid
219,11,2026-01-29,49.17,Starter,Paid
220,11,2026-02-28,48.37,Starter,Paid
221,11,2026-03-30,47.27,Starter,Paid
222,11,2026-04-29,47.68,Starter,Paid
223,11,2026-05-29,48,Starter,Paid
224,11,2026-06-28,51.28,Starter,Paid
225,12,2025-11-18,50.94,Starter,Paid
226,12,2025-12-18,47.64,Starter,Paid
227,12,2026-01-17,48.6,Starter,Paid
228,12,2026-02-16,48.94,Starter,Paid
229,12,2026-03-18,46.82,Starter,Paid
230,12,2026-04-17,49.11,Starter,Paid
231,12,2026-05-17,48.03,Starter,Paid
232,12,2026-06-16,50.61,Growth,Paid
233,13,2025-03-12,611.43,Scale,Paid
234,13,2025-04-11,577.72,Scale,Paid
235,13,2025-05-11,617.66,Scale,Failed
236,13,2025-06-10,618.22,Scale,Paid
237,13,2025-07-10,603.7,Scale,Paid
238,13,2025-08-09,598.57,Scale,Paid
239,13,2025-09-08,572.74,Scale,Paid
240,13,2025-10-08,578.59,Scale,Paid
241,13,2025-11-07,605.75,Scale,Paid
242,13,2025-12-07,593.8,Scale,Paid
243,13,2026-01-06,607.84,Scale,Paid
244,13,2026-02-05,599.51,Scale,Paid
245,13,2026-03-07,628.59,Scale,Paid
246,13,2026-04-06,601.3,Scale,Paid
247,13,2026-05-06,623.69,Scale,Paid
248,13,2026-06-05,-579.56,Scale,Refunded
249,14,2026-05-14,607.63,Scale,Paid
250,14,2026-06-13,624.47,Scale,Failed
251,15,2025-10-29,572.2,Scale,Paid
252,15,2025-11-28,610.13,Scale,Paid
253,15,2025-12-28,586.76,Scale,Failed
254,15,2026-01-27,574.17,Scale,Paid
255,15,2026-02-26,623.24,Scale,Paid
256,15,2026-03-28,578.59,Scale,Paid
257,15,2026-04-27,592.33,Scale,Paid
258,15,2026-05-27,620.08,Scale,Failed
259,15,2026-06-26,619.46,Scale,Paid
260,16,2024-02-04,199.61,Starter,Paid
261,16,2024-03-05,49.34,Starter,Paid
262,16,2024-04-04,49.6,Starter,Paid
263,16,2024-05-04,47.26,Starter,Paid
264,16,2024-06-03,51.1,Starter,Paid
265,16,2024-07-03,46.69,Starter,Paid
266,16,2024-08-02,49.66,Starter,Paid
267,16,2024-09-01,46.87,Starter,Paid
268,16,2024-10-01,50.56,Starter,Paid
269,16,2024-10-31,46.87,Starter,Paid
270,17,2025-12-22,51.18,Starter,Paid
271,17,2026-01-21,47.1,Starter,Paid
272,17,2026-02-20,50.53,Starter,Paid
273,17,2026-03-22,49.64,Starter,Paid
274,17,2026-04-21,47.03,Starter,Paid
275,17,2026-05-21,48.11,Scale,Paid
276,17,2026-06-20,624.76,Scale,Paid
277,18,2025-05-26,207.17,Growth,Paid
278,18,2025-06-25,198.52,Growth,Paid
279,18,2025-07-25,204.75,Growth,Paid
280,18,2025-08-24,191.01,Growth,Paid
281,18,2025-09-23,200.32,Growth,Paid
282,18,2025-10-23,200.48,Growth,Paid
283,18,2025-11-22,199.47,Growth,Paid
284,18,2025-12-22,190.12,Growth,Paid
285,18,2026-01-21,202.88,Growth,Paid
286,18,2026-02-20,200.84,Growth,Failed
287,18,2026-03-22,200.55,Growth,Paid
288,18,2026-04-21,207.72,Growth,Paid
289,18,2026-05-21,207.73,Growth,Paid
290,18,2026-06-20,208.77,Growth,Paid
291,19,2024-08-26,48.15,Starter,Paid
292,19,2024-09-25,50.92,Starter,Paid
293,19,2024-10-25,49.71,Starter,Paid
294,19,2024-11-24,48.65,Starter,Paid
295,19,2024-12-24,51.36,Starter,Paid
296,19,2025-01-23,47.17,Starter,Paid
297,19,2025-02-22,49.52,Starter,Paid
298,19,2025-03-24,49.11,Starter,Paid
299,19,2025-04-23,49.26,Starter,Paid
300,20,2025-07-24,49.93,Starter,Paid
301,20,2025-08-23,48.19,Starter,Paid
302,20,2025-09-22,49.04,Starter,Paid
303,20,2025-10-22,50.6,Starter,Paid
304,20,2025-11-21,51.33,Starter,Paid
305,20,2025-12-21,48.26,Starter,Paid
306,20,2026-01-20,47.82,Starter,Failed
307,20,2026-02-19,47.36,Starter,Paid
308,20,2026-03-21,47.29,Starter,Paid
309,21,2025-08-12,586.86,Scale,Paid
310,21,2025-09-11,623.64,Scale,Paid
311,21,2025-10-11,596.84,Scale,Paid
312,21,2025-11-10,595.2,Scale,Paid
313,21,2025-12-10,586.79,Scale,Paid
314,21,2026-01-09,613.27,Scale,Paid
315,21,2026-02-08,620.14,Scale,Paid
316,21,2026-03-10,607.82,Scale,Paid
317,21,2026-04-09,608.13,Scale,Paid
318,21,2026-05-09,604.02,Scale,Paid
319,21,2026-06-08,576.49,Scale,Paid
320,22,2024-05-28,611.02,Scale,Paid
321,22,2024-06-27,593.02,Scale,Paid
322,22,2024-07-27,619.93,Scale,Paid
323,22,2024-08-26,620.48,Scale,Paid
324,22,2024-09-25,621.34,Scale,Paid
325,22,2024-10-25,569.69,Scale,Paid
326,22,2024-11-24,575.42,Scale,Paid
327,22,2024-12-24,611.95,Scale,Failed
328,22,2025-01-23,589.91,Scale,Paid
329,22,2025-02-22,581.33,Scale,Paid
330,22,2025-03-24,616.52,Scale,Paid
331,22,2025-04-23,613.5,Scale,Paid
332,22,2025-05-23,580.06,Scale,Paid
333,22,2025-06-22,612.72,Scale,Paid
334,22,2025-07-22,584.17,Scale,Paid
335,22,2025-08-21,573.55,Scale,Paid
336,22,2025-09-20,609.48,Scale,Paid
337,22,2025-10-20,587.23,Scale,Paid
338,22,2025-11-19,-627.24,Scale,Refunded
339,22,2025-12-19,596.73,Scale,Paid
340,22,2026-01-18,573.18,Scale,Paid
341,22,2026-02-17,607.52,Scale,Paid
342,22,2026-03-19,577.81,Scale,Paid
343,22,2026-04-18,616.69,Scale,Paid
344,22,2026-05-18,614.57,Scale,Paid
345,22,2026-06-17,597.17,Scale,Paid
346,23,2025-11-08,50,Starter,Paid
347,23,2025-12-08,49.88,Starter,Paid
348,23,2026-01-07,50.46,Starter,Paid
349,23,2026-02-06,48.12,Starter,Paid
350,23,2026-03-08,46.97,Starter,Paid
351,23,2026-04-07,48.04,Starter,Paid
352,23,2026-05-07,49.32,Starter,Paid
353,24,2024-12-10,49.15,Starter,Paid
354,24,2025-01-09,49.77,Starter,Paid
355,24,2025-02-08,47.99,Starter,Paid
356,25,2025-04-29,50.74,Starter,Paid
357,25,2025-05-29,50.4,Starter,Paid
358,25,2025-06-28,49.17,Starter,Paid
359,25,2025-07-28,51.34,Starter,Paid
360,25,2025-08-27,49.24,Starter,Paid
361,25,2025-09-26,48.97,Starter,Paid
362,25,2025-10-26,50.66,Starter,Paid
363,25,2025-11-25,47.13,Starter,Paid
364,25,2025-12-25,48.87,Starter,Paid
365,25,2026-01-24,50.99,Starter,Paid
366,25,2026-02-23,47.36,Starter,Paid
367,25,2026-03-25,47.34,Starter,Paid
368,25,2026-04-24,48.99,Starter,Paid
369,25,2026-05-24,-48.64,Starter,Refunded
370,25,2026-06-23,47.43,Starter,Paid
371,26,2024-09-02,46.65,Starter,Paid
372,26,2024-10-02,51.45,Starter,Paid
373,26,2024-11-01,48.92,Starter,Paid
374,26,2024-12-01,47.6,Starter,Paid
375,26,2024-12-31,47.01,Starter,Paid
376,26,2025-01-30,50.36,Starter,Paid
377,26,2025-03-01,47.94,Starter,Paid
378,26,2025-03-31,46.81,Starter,Paid
379,26,2025-04-30,48.97,Starter,Paid
380,26,2025-05-30,50.83,Starter,Paid
381,26,2025-06-29,48.96,Starter,Paid
382,26,2025-07-29,50.04,Starter,Paid
383,26,2025-08-28,-46.98,Starter,Refunded
384,26,2025-09-27,49.27,Starter,Paid
385,26,2025-10-27,48.5,Starter,Paid
386,26,2025-11-26,50.58,Starter,Paid
387,26,2025-12-26,46.84,Starter,Paid
388,26,2026-01-25,48.39,Starter,Paid
389,26,2026-02-24,49.93,Starter,Paid
390,26,2026-03-26,46.74,Starter,Paid
391,26,2026-04-25,47.4,Starter,Paid
392,26,2026-05-25,48.62,Starter,Paid
393,26,2026-06-24,46.62,Starter,Paid
394,27,2024-12-01,48.07,Starter,Paid
395,27,2024-12-31,47.46,Growth,Paid
396,27,2025-01-30,198.96,Growth,Paid
397,27,2025-03-01,204.45,Growth,Paid
398,27,2025-03-31,197.1,Growth,Paid
399,27,2025-04-30,-200.87,Growth,Refunded
400,27,2025-05-30,192.14,Growth,Paid
401,27,2025-06-29,190.7,Growth,Paid
402,27,2025-07-29,201.53,Starter,Paid
403,27,2025-08-28,51.38,Starter,Paid
404,27,2025-09-27,47.14,Starter,Paid
405,27,2025-10-27,49.34,Starter,Paid
406,27,2025-11-26,51.07,Starter,Paid
407,27,2025-12-26,49.95,Starter,Paid
408,27,2026-01-25,47.99,Starter,Paid
409,27,2026-02-24,49.83,Starter,Paid
410,27,2026-03-26,46.81,Starter,Paid
411,27,2026-04-25,50.88,Starter,Paid
412,27,2026-05-25,48.46,Starter,Paid
413,27,2026-06-24,51.24,Starter,Paid
414,28,2024-05-13,48.1,Starter,Failed
415,28,2024-06-12,48.85,Starter,Paid
416,28,2024-07-12,47.12,Starter,Failed
417,28,2024-08-11,50.48,Starter,Paid
418,28,2024-09-10,48.77,Starter,Paid
419,28,2024-10-10,48.19,Starter,Paid
420,28,2024-11-09,49.74,Starter,Paid
421,28,2024-12-09,50.81,Growth,Paid
422,28,2025-01-08,201.01,Growth,Paid
423,28,2025-02-07,206.72,Growth,Paid
424,28,2025-03-09,201.03,Growth,Paid
425,28,2025-04-08,194.69,Growth,Paid
426,28,2025-05-08,197.46,Growth,Paid
427,29,2024-08-19,50.9,Starter,Paid
428,29,2024-09-18,50.53,Starter,Paid
429,29,2024-10-18,47.89,Starter,Paid
430,29,2024-11-17,49.9,Starter,Paid
431,29,2024-12-17,46.97,Starter,Paid
432,29,2025-01-16,47.53,Starter,Paid
433,29,2025-02-15,47.7,Starter,Paid
434,29,2025-03-17,48.83,Starter,Paid
435,29,2025-04-16,50.23,Starter,Paid
436,29,2025-05-16,46.98,Starter,Paid
437,29,2025-06-15,47.69,Starter,Paid
438,29,2025-07-15,50.89,Starter,Paid
439,29,2025-08-14,49.44,Starter,Paid
440,29,2025-09-13,47.44,Starter,Paid
441,29,2025-10-13,49.32,Starter,Paid
442,29,2025-11-12,47.28,Starter,Paid
443,29,2025-12-12,48.38,Starter,Paid
444,29,2026-01-11,50.41,Starter,Paid
445,29,2026-02-10,48.24,Growth,Paid
446,29,2026-03-12,193.12,Growth,Paid
447,29,2026-04-11,200.73,Growth,Paid
448,29,2026-05-11,194.62,Growth,Paid
449,29,2026-06-10,200.85,Growth,Paid
450,30,2024-11-21,205.84,Growth,Paid
451,30,2024-12-21,196.58,Scale,Paid
452,30,2025-01-20,621.2,Scale,Paid
453,30,2025-02-19,623.55,Scale,Paid
454,30,2025-03-21,592.85,Scale,Paid
455,31,2026-04-18,584.46,Scale,Paid
456,31,2026-05-18,626.34,Scale,Paid
457,31,2026-06-17,595.91,Scale,Paid
458,32,2025-11-18,208.79,Scale,Paid
459,32,2025-12-18,625.43,Scale,Paid
460,32,2026-01-17,570.71,Scale,Paid
461,32,2026-02-16,599.8,Scale,Paid
462,32,2026-03-18,598.01,Scale,Paid
463,32,2026-04-17,569.4,Scale,Paid
464,32,2026-05-17,604.38,Scale,Paid
465,32,2026-06-16,597.25,Scale,Paid
466,33,2024-04-01,196.51,Growth,Paid
467,33,2024-05-01,205.12,Growth,Paid
468,33,2024-05-31,198.36,Growth,Paid
469,33,2024-06-30,192.17,Growth,Paid
470,33,2024-07-30,201.36,Growth,Paid
471,33,2024-08-29,204.54,Growth,Failed
472,33,2024-09-28,196.71,Growth,Paid
473,33,2024-10-28,208.4,Growth,Paid
474,33,2024-11-27,191.35,Growth,Paid
475,33,2024-12-27,203.7,Growth,Paid
476,33,2025-01-26,206.75,Growth,Paid
477,33,2025-02-25,197.37,Scale,Paid
478,33,2025-03-27,589.09,Scale,Paid
479,33,2025-04-26,588.1,Scale,Paid
480,33,2025-05-26,627.67,Scale,Paid
481,33,2025-06-25,609.08,Scale,Paid
482,33,2025-07-25,586.2,Scale,Paid
483,33,2025-08-24,-590.87,Scale,Refunded
484,33,2025-09-23,624.46,Scale,Paid
485,34,2025-01-23,206.88,Growth,Paid
486,34,2025-02-22,-194.89,Scale,Refunded
487,34,2025-03-24,599.65,Scale,Paid
488,34,2025-04-23,625.57,Scale,Paid
489,34,2025-05-23,571.48,Scale,Paid
490,34,2025-06-22,579.87,Scale,Paid
491,34,2025-07-22,582.85,Scale,Paid
492,34,2025-08-21,618.71,Scale,Paid
493,34,2025-09-20,614.65,Scale,Paid
494,34,2025-10-20,609.18,Scale,Paid
495,34,2025-11-19,587.5,Scale,Paid
496,34,2025-12-19,600.17,Scale,Paid
497,34,2026-01-18,600.11,Scale,Paid
498,34,2026-02-17,607.34,Scale,Failed
499,34,2026-03-19,593.58,Scale,Paid
500,34,2026-04-18,608.91,Scale,Paid
501,34,2026-05-18,628.09,Scale,Paid
502,34,2026-06-17,603.49,Scale,Paid
503,35,2024-03-31,207.6,Growth,Failed
504,35,2024-04-30,196.15,Growth,Paid
505,35,2024-05-30,207.21,Growth,Paid
506,35,2024-06-29,200.52,Growth,Paid
507,35,2024-07-29,191.19,Growth,Paid
508,35,2024-08-28,189.56,Growth,Paid
509,35,2024-09-27,193.9,Growth,Paid
510,35,2024-10-27,192.39,Growth,Paid
511,35,2024-11-26,208.06,Growth,Paid
512,35,2024-12-26,203.75,Growth,Paid
513,35,2025-01-25,201.72,Growth,Paid
514,35,2025-02-24,197.89,Growth,Paid
515,35,2025-03-26,192.61,Growth,Paid
516,35,2025-04-25,200.71,Growth,Paid
517,35,2025-05-25,191.47,Growth,Paid
518,35,2025-06-24,193.58,Growth,Paid
519,35,2025-07-24,198.24,Growth,Paid
520,35,2025-08-23,189.42,Growth,Paid
521,35,2025-09-22,200.93,Starter,Paid
522,35,2025-10-22,50.36,Starter,Paid
523,35,2025-11-21,48.19,Starter,Paid
524,35,2025-12-21,50.49,Starter,Paid
525,35,2026-01-20,50.7,Starter,Paid
526,35,2026-02-19,51.24,Starter,Failed
527,35,2026-03-21,48.62,Starter,Paid
528,35,2026-04-20,49.15,Starter,Paid
529,35,2026-05-20,49.02,Starter,Paid
530,35,2026-06-19,51.3,Starter,Paid
531,36,2024-01-23,49.65,Starter,Paid
532,36,2024-02-22,50.88,Starter,Paid
533,36,2024-03-23,47.85,Starter,Paid
534,36,2024-04-22,49.21,Starter,Failed
535,36,2024-05-22,47.78,Starter,Paid
536,36,2024-06-21,51.21,Starter,Paid
537,36,2024-07-21,49.72,Starter,Paid
538,36,2024-08-20,51.23,Starter,Paid
539,36,2024-09-19,48.84,Starter,Paid
540,36,2024-10-19,47.16,Starter,Paid
541,36,2024-11-18,48.54,Starter,Paid
542,36,2024-12-18,46.98,Starter,Paid
543,36,2025-01-17,49.54,Starter,Paid
544,36,2025-02-16,47.54,Starter,Paid
545,36,2025-03-18,49.24,Starter,Paid
546,36,2025-04-17,48.07,Starter,Paid
547,36,2025-05-17,49.06,Starter,Paid
548,36,2025-06-16,46.61,Starter,Paid
549,36,2025-07-16,47.72,Starter,Paid
550,36,2025-08-15,-47.95,Starter,Refunded
551,36,2025-09-14,50.33,Starter,Paid
552,36,2025-10-14,50.82,Starter,Paid
553,36,2025-11-13,48.45,Starter,Paid
554,36,2025-12-13,47.09,Starter,Paid
555,36,2026-01-12,50.17,Starter,Paid
556,36,2026-02-11,48.28,Starter,Paid
557,36,2026-03-13,50.71,Starter,Paid
558,36,2026-04-12,50.17,Starter,Paid
559,36,2026-05-12,48.88,Starter,Paid
560,36,2026-06-11,51.03,Starter,Paid
561,37,2025-07-13,189.14,Growth,Paid
562,37,2025-08-12,198.96,Growth,Failed
563,37,2025-09-11,197.37,Growth,Paid
564,37,2025-10-11,201.14,Growth,Paid
565,37,2025-11-10,198.16,Growth,Paid
566,37,2025-12-10,196.82,Growth,Paid
567,37,2026-01-09,195.46,Growth,Paid
568,37,2026-02-08,198.99,Growth,Paid
569,37,2026-03-10,195.1,Growth,Paid
570,37,2026-04-09,200.62,Growth,Paid
571,37,2026-05-09,195.49,Growth,Paid
572,37,2026-06-08,208.13,Growth,Paid
573,38,2024-04-11,623.59,Scale,Paid
574,38,2024-05-11,602.89,Scale,Paid
575,38,2024-06-10,615.38,Scale,Paid
576,38,2024-07-10,600.05,Scale,Paid
577,38,2024-08-09,592.38,Scale,Paid
578,38,2024-09-08,590.08,Scale,Failed
579,38,2024-10-08,600.51,Scale,Paid
580,38,2024-11-07,593.06,Scale,Paid
581,38,2024-12-07,621.75,Scale,Failed
582,38,2025-01-06,595.42,Scale,Paid
583,38,2025-02-05,589.61,Scale,Paid
584,38,2025-03-07,579.28,Scale,Paid
585,38,2025-04-06,618.53,Scale,Paid
586,38,2025-05-06,622.63,Scale,Paid
587,38,2025-06-05,628.37,Scale,Paid
588,38,2025-07-05,578.42,Scale,Paid
589,38,2025-08-04,599.29,Scale,Paid
590,38,2025-09-03,606.79,Scale,Paid
591,38,2025-10-03,628.58,Scale,Paid
592,38,2025-11-02,593.69,Scale,Paid
593,38,2025-12-02,610.42,Scale,Paid
594,38,2026-01-01,619.5,Scale,Paid
595,38,2026-01-31,580.83,Scale,Paid
596,38,2026-03-02,584.98,Scale,Paid
597,38,2026-04-01,628.78,Scale,Paid
598,38,2026-05-01,576.33,Scale,Paid
599,38,2026-05-31,575.44,Scale,Paid
600,38,2026-06-30,600.35,Scale,Paid
601,39,2025-03-02,205.1,Scale,Paid
602,39,2025-04-01,577.67,Scale,Paid
603,39,2025-05-01,571.02,Scale,Paid
604,39,2025-05-31,625.82,Scale,Paid
605,39,2025-06-30,606.43,Scale,Paid
